Source,Target,Weight,cooccur_count
fiction,graphics,0.0064262691594330875,3
animation,snout,0.06558834162757689,3
animated cartoon,armour,0.15842936260448298,2
facial expression,fictional character,0.18114943910456618,4
action,fictional character,0.2515387669959641,2
film,toy,0.27462238010900547,2
graphics,orange,0.3059865510183408,3
cg artwork,graphic design,0.317127108623541,2
cg artwork,facial expression,0.31712710862354127,3
animation,facial expression,0.31712710862354127,3
fictional character,mythology,0.3510744405468788,3
graphics,night,0.42146376843827665,3
graphics,science,0.42146376843827665,2
beak,fictional character,0.4579896444633908,3
facial expression,orange,0.4579896444633908,2
animation,blue,0.539519529959989,3
animation,beard,0.539519529959989,2
fictional character,moustache,0.5734668618833266,3
fictional character,science,0.5734668618833269,4
costume,fictional character,0.5734668618833269,2
fiction,film,0.5965504749963679,4
graphics,red,0.6141088463806724,2
animation,science,0.7094445314023016,3
digital compositing,graphics,0.7210240502971845,2
fiction,mythology,0.7433918633256391,2
animated cartoon,graphics,0.7433918633256392,5
fictional character,graphics,0.7661119398257226,10
film,mythology,0.7891955529387636,2
film,graphics,0.7891955529387639,5
cg artwork,robot,0.8025539357937828,2
action,animation,0.8025539357937828,2
fictional character,happiness,0.8365012677171205,3
blue,graphics,0.8365012677171205,3
beak,fiction,0.8503070672421511,2
animated cartoon,whiskers,0.8503070672421511,2
night,orange,0.8503070672421512,3
eyelash,fictional character,0.8730271437422346,4
beak,film,0.8961107568552761,2
animation,fiction,0.9318369527387497,7
action figure,graphics,0.9620321498009795,2
breastplate,fictional character,0.9885043611621704,2
cityscape,fictional character,0.9885043611621704,2
fictional character,mask,0.9885043611621707,3
cg artwork,graphics,0.9951990137361788,8
armour,graphics,1.0291463456595165,4
graphic design,orange,1.0429521451845467,2
action figure,animated cartoon,1.091315166745946,2
beauty,cg artwork,1.1244820306811456,2
armour,science,1.158429362604483,2
cg artwork,film,1.17028572029427,8
fictional character,film,1.2042330522176077,12
armour,film,1.2042330522176077,4
fiction,toy,1.2288186904958807,4
animated cartoon,happiness,1.2288186904958807,2
astronomy,fiction,1.2288186904958807,2
action,fiction,1.2288186904958807,2
science,toy,1.2288186904958807,2
technology,toy,1.2288186904958807,2
animated cartoon,hero,1.2288186904958809,3
fiction,hero,1.2288186904958809,3
fictional character,knight,1.2515387669959641,2
cape,fictional character,1.2515387669959641,2
fictional character,model,1.2515387669959641,2
astronomical object,graphics,1.3059865510183408,3
animation,graphic design,1.317127108623541,4
animation,winter,1.317127108623541,2
animation,cloak,1.317127108623541,2
animation,fictional character,1.3171271086235412,18
animation,film,1.3402107217365824,9
cloak,fictional character,1.3510744405468789,3
film,portrait photography,1.37415805365992,3
evening,night,1.3808217839409307,2
animated cartoon,mask,1.3808217839409307,2
animation,astronomy,1.387516436514939,3
animation,robot,1.387516436514939,3
cloud,orange,1.3908754486048538,2
fictional character,toy,1.4214637684382767,9
graphics,technology,1.4214637684382767,4
graphics,universe,1.4214637684382767,3
graphics,yellow,1.4214637684382767,3
cg artwork,eyelash,1.4240423125400532,4
digital compositing,fiction,1.4352695679633074,3
animated cartoon,facial expression,1.4803574574918454,5
eyelash,film,1.4810732575764323,3
animated cartoon,snout,1.491853096329675,6
night,still life photography,1.5063526660247897,2
facial expression,film,1.5261611471049703,5
animation,universe,1.539519529959989,4
animation,mask,1.539519529959989,3
cg artwork,cityscape,1.539519529959989,2
cg artwork,wing,1.539519529959989,2
cg artwork,fictional character,1.5395195299599893,21
cg artwork,hero,1.5395195299599893,5
animation,hero,1.5395195299599893,5
graphics,lens flare,1.5469946505221357,3
costume,fiction,1.5507467853832433,2
beard,facial expression,1.5734668618833267,2
fictional character,flesh,1.5734668618833267,2
cosplay,fictional character,1.5734668618833267,2
fictional character,hood,1.5734668618833267,2
fictional character,no expression,1.5734668618833267,2
fictional character,figurine,1.5734668618833267,2
animation,graphics,1.580161514457335,12
animated cartoon,cg artwork,1.5839136493184425,11
costume,film,1.596550474996368,2
film,moustache,1.5965504749963682,3
graphics,mythology,1.6141088463806723,4
graphics,pc game,1.6141088463806723,2
graphics,mecha,1.6141088463806723,2
cryptid,graphics,1.6141088463806723,2
armour,fictional character,1.6405810577418634,11
blue,eyelash,1.6803820657998387,2
astronomy,graphics,1.6844981742720706,3
black,snout,1.736965594166206,2
cloak,fiction,1.7433918633256391,2
animated cartoon,pc game,1.7433918633256391,2
animated cartoon,cryptid,1.7433918633256391,2
animated cartoon,fictional character,1.7433918633256393,18
cg artwork,digital compositing,1.7459704074274158,5
animation,astronomical object,1.7459704074274158,5
animation,digital compositing,1.7459704074274158,5
animated cartoon,film,1.7664754764386805,9
blue,yellow,1.7958592832197746,2
action,cg artwork,1.8025539357937828,4
animation,jungle,1.8025539357937828,2
cg artwork,model,1.8025539357937828,2
cg artwork,purple,1.8025539357937828,2
animation,cape,1.8025539357937828,2
animation,meteorological phenomenon,1.8025539357937828,2
animation,turret,1.8025539357937828,2
fiction,fictional character,1.8213943753269122,19
fictional character,robot,1.8365012677171204,6
armour,hero,1.8365012677171204,3
armour,robot,1.8365012677171204,2
animated cartoon,beak,1.850307067242151,4
darkness,orange,1.850307067242151,2
digital compositing,technology,1.850307067242151,2
digital compositing,fictional character,1.8730271437422346,8
digital compositing,film,1.896110756855276,4
cg artwork,long hair,1.902089609344697,3
animation,armour,1.9020896093446973,9
armour,cg artwork,1.9020896093446973,9
blue,heat,1.9213901653036336,2
animation,technology,1.9318369527387496,7
graphic design,mythology,1.9360369412680347,2
cg artwork,mask,1.9545570292388328,4
dusk,night,1.9657842846620872,3
costume hat,fictional character,1.9885043611621704,2
fedora,fictional character,1.9885043611621704,2
fictional character,sun hat,1.9885043611621704,2
fictional character,muscle,1.9885043611621704,2
beard,film,2.0115879742752116,4
breastplate,film,2.0115879742752116,2
cg artwork,fiction,2.031372626289664,15
fictional character,technology,2.032898480520624,11
action figure,fiction,2.091315166745946,4
lens flare,science,2.091315166745946,2
snout,terrestrial animal,2.0995356735509145,2
graphics,purple,2.0995356735509145,2
demon,graphics,2.0995356735509145,2
toy,whiskers,2.113341473075945,3
cg artwork,costume,2.1244820306811456,4
cg artwork,cosplay,2.1244820306811456,2
