Id,frequency
3d modeling,2
action,10
action figure,11
action-adventure game,3
aerospace manufacturer,2
aircraft,3
alley,3
animated cartoon,32
animation,43
anime,5
aquatic plant,3
arcade,2
arch,5
armour,21
astronaut,4
astronomical object,13
astronomy,10
atmospheric phenomenon,7
automotive exterior,4
automotive lighting,6
automotive wheel system,2
backlighting,4
barechestedness,2
batman,4
beak,13
beard,12
beauty,8
bengal tiger,2
bird,5
bird of prey,2
black,9
black hair,5
blond,2
blue,18
boat,3
breastplate,6
bronze sculpture,2
bumper,2
butterfly,2
cape,5
cartoon,5
cat,5
ceiling,4
celestial event,2
cg artwork,43
cheek,3
chicken,2
chin,4
château,2
cityscape,6
classic car,3
classical sculpture,2
cloak,7
close-up,5
cloud,11
collar,5
column,4
comfort food,2
common raven,2
composite material,2
concert,2
condiment,3
cooking,2
cosplay,4
costume,8
costume design,4
costume hat,3
cottage,4
crows,2
cryptid,7
crystal,5
culinary arts,2
cumulus,2
darkness,8
demon,5
diamond,2
digital compositing,13
display device,6
dog,10
dome,4
domestic short-haired cat,4
dragon,4
dragon ball,2
dusk,12
ecoregion,2
electricity,4
electronics,2
emerald,2
evening,12
extinction,2
eye,2
eye shadow,4
eyebrow,8
eyelash,13
facial expression,21
fashion,3
fast food,3
feather,9
fedora,3
fender,3
fiction,32
fictional character,63
field,3
figurine,4
film,31
fin,2
finger food,3
fire,9
fish,2
fissure vent,2
flame,9
flesh,4
floor,2
flooring,2
food,3
fowl,2
fractal art,3
freezing,2
fruit,4
fuel tank,2
fur,12
furniture,2
gadget,5
galaxy,3
garden,2
garden buildings,2
gemstone,2
giant sequoia,2
glass,5
glasses,4
goggles,4
goth subculture,2
graphic design,14
graphics,35
grassland,2
green,5
guitar,3
guitarist,3
hairstyle,6
happiness,10
hardwood,2
headlamp,3
headphones,2
headpiece,3
heart,2
heat,11
helmet,3
hero,15
hill,2
hood,4
horizon,5
horn,2
horse,3
horse supplies,2
horse tack,2
ingredient,7
insect,2
interior design,3
iris,2
jungle,5
justice league,4
kitten,2
knight,5
landmark,2
lantern,3
lava,3
lava dome,3
lawn ornament,2
lens flare,11
light fixture,3
lighting,7
lips,4
liquid,3
log cabin,3
long hair,7
lotus,2
love,3
macro photography,2
marine biology,2
mask,9
mecha,7
meteorological phenomenon,5
metropolis,4
metropolitan area,2
midnight,7
mist,3
model,5
modern art,3
monument,2
moon,6
moonlight,6
motorcycle,2
mountain range,2
moustache,12
multimedia,2
muscle,3
mustang,2
mythical creature,3
mythology,14
natural landscape,2
nature,5
naval architecture,2
nebula,2
neck,3
neon,2
neon sign,3
night,24
no expression,4
nose,3
ocean,3
old-growth forest,4
orange,26
paint,3
parasitism,2
paw,2
pc game,7
pedestrian,2
people in nature,3
performing arts,4
personal computer,2
personal luxury car,3
personal protective equipment,4
pest,3
pet supply,3
phasianidae,3
photo shoot,2
planet,2
pleased,2
plucked string instrument,3
pollinator,3
pond,2
portrait,4
portrait photography,14
prairie,2
primate,2
purple,5
pyramid,2
quartz,2
rainforest,2
recipe,4
red,14
red hair,3
red sky at morning,2
reflection,7
reptile,4
robot,10
rock,2
room,2
science,16
screenshot,2
sedan,2
shadow,8
ship,2
siberian tiger,2
skin,7
skull,2
sky,3
skyscraper,4
smartphone,2
smile,5
snout,25
software,2
software engineering,2
songbirds,2
spacecraft,3
sphere,4
spoke,2
squirrel,2
stallion,2
standing,3
star,7
statue,3
steeple,4
steppe,2
still life photography,11
stratovolcano,2
street,2
suit actor,2
sun,3
sun hat,3
sunglasses,3
sunlight,5
sunrise,10
sunset,9
superhero,4
supernatural creature,4
symbol,3
symmetry,6
tail,7
technology,16
telephony,2
temple,4
terrain,2
terrestrial animal,7
thorax,2
tooth,4
tourist attraction,6
tower,3
toy,20
tradition,4
triangle,2
trunk,3
turret,5
types of volcanic eruptions,3
underwater,3
universe,12
vegetable,4
video game software,3
vikings,2
visual arts,2
visual effect lighting,3
volcanic field,3
walking,5
watercolor painting,4
wheel,2
whiskers,13
wildlife,2
wind,3
wing,6
winter,7
wonders of the world,3
wood stain,2
working animal,8
world heritage site,3
wrinkle,4
yellow,12
yoda,2
