,3d modeling,action,action figure,action-adventure game,aerospace manufacturer,aircraft,alley,animated cartoon,animation,anime,aquatic plant,arcade,arch,armour,astronaut,astronomical object,astronomy,atmospheric phenomenon,automotive exterior,automotive lighting,automotive wheel system,backlighting,barechestedness,batman,beak,beard,beauty,bengal tiger,bird,bird of prey,black,black hair,blond,blue,boat,breastplate,bronze sculpture,bumper,butterfly,cape,cartoon,cat,ceiling,celestial event,cg artwork,cheek,chicken,chin,château,cityscape,classic car,classical sculpture,cloak,close-up,cloud,collar,column,comfort food,common raven,composite material,concert,condiment,cooking,cosplay,costume,costume design,costume hat,cottage,crows,cryptid,crystal,culinary arts,cumulus,darkness,demon,diamond,digital compositing,display device,dog,dome,domestic short-haired cat,dragon,dragon ball,dusk,ecoregion,electricity,electronics,emerald,evening,extinction,eye,eye shadow,eyebrow,eyelash,facial expression,fashion,fast food,feather,fedora,fender,fiction,fictional character,field,figurine,film,fin,finger food,fire,fish,fissure vent,flame,flesh,floor,flooring,food,fowl,fractal art,freezing,fruit,fuel tank,fur,furniture,gadget,galaxy,garden,garden buildings,gemstone,giant sequoia,glass,glasses,goggles,goth subculture,graphic design,graphics,grassland,green,guitar,guitarist,hairstyle,happiness,hardwood,headlamp,headphones,headpiece,heart,heat,helmet,hero,hill,hood,horizon,horn,horse,horse supplies,horse tack,ingredient,insect,interior design,iris,jungle,justice league,kitten,knight,landmark,lantern,lava,lava dome,lawn ornament,lens flare,light fixture,lighting,lips,liquid,log cabin,long hair,lotus,love,macro photography,marine biology,mask,mecha,meteorological phenomenon,metropolis,metropolitan area,midnight,mist,model,modern art,monument,moon,moonlight,motorcycle,mountain range,moustache,multimedia,muscle,mustang,mythical creature,mythology,natural landscape,nature,naval architecture,nebula,neck,neon,neon sign,night,no expression,nose,ocean,old-growth forest,orange,paint,parasitism,paw,pc game,pedestrian,people in nature,performing arts,personal computer,personal luxury car,personal protective equipment,pest,pet supply,phasianidae,photo shoot,planet,pleased,plucked string instrument,pollinator,pond,portrait,portrait photography,prairie,primate,purple,pyramid,quartz,rainforest,recipe,red,red hair,red sky at morning,reflection,reptile,robot,rock,room,science,screenshot,sedan,shadow,ship,siberian tiger,skin,skull,sky,skyscraper,smartphone,smile,snout,software,software engineering,songbirds,spacecraft,sphere,spoke,squirrel,stallion,standing,star,statue,steeple,steppe,still life photography,stratovolcano,street,suit actor,sun,sun hat,sunglasses,sunlight,sunrise,sunset,superhero,supernatural creature,symbol,symmetry,tail,technology,telephony,temple,terrain,terrestrial animal,thorax,tooth,tourist attraction,tower,toy,tradition,triangle,trunk,turret,types of volcanic eruptions,underwater,universe,vegetable,video game software,vikings,visual arts,visual effect lighting,volcanic field,walking,watercolor painting,wheel,whiskers,wildlife,wind,wing,winter,wonders of the world,wood stain,working animal,world heritage site,wrinkle,yellow,yoda
3d modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action,,,2.8,,,,,,0.8,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.3,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.9,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action figure,,2.8,,,,,,1.1,2.3,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
action-adventure game,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aerospace manufacturer,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aircraft,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animated cartoon,,,1.1,,,,,,,2.8,,,,0.2,,,,,,,,,,,1.9,,,,2.8,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,3.6,,,,,,,,,,,,1.5,,,,,,2.1,1.7,,2.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,1.2,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,
animation,,0.8,2.3,,,,,,,,,,,1.9,2.7,1.7,1.4,,,,,,,,,0.5,,,,,,,,0.5,,,,,,1.8,,,,,,,,,,,,,1.3,,,,,,,,,,,,,2.7,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,0.3,,,,,,0.9,1.3,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.6,,,,,,,,,,,,,,1.5,,,,3.1,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,1.5,2.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,0.7,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,1.9,,,,,,,,,,,,,1.8,,,1.5,,,,,,,,,,,3.1,,,1.3,,,,,,,
anime,,,,,,,,2.8,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
