image_id,label,score
10015-simplified,Fictional character,0.96474135
10015-simplified,Spider-Man,0.95686716
10015-simplified,Superhero,0.953624
10015-simplified,Cartoon,0.93503386
10015-simplified,CG artwork,0.84464186
10015-simplified,Fiction,0.8383317
10015-simplified,Animation,0.8043294
10015-simplified,Hero,0.7464098
10015-simplified,Animated cartoon,0.74481845
10015-simplified,Supernatural creature,0.65604043
10016-simplified,Electronic device,0.9740789
10016-simplified,Technology,0.8821064
10016-simplified,Computer,0.87518203
10016-simplified,Personal computer,0.86766744
10016-simplified,Office Equipment,0.8553456
10016-simplified,Computer hardware,0.8313354
10016-simplified,Peripheral,0.8251953
10016-simplified,Display device,0.817954
10016-simplified,Software engineering,0.7801774
10016-simplified,Computer keyboard,0.7501071
10024-simplified,Cloud,0.9296566
10024-simplified,Dusk,0.9143446
10024-simplified,Sunrise,0.9139185
10024-simplified,Terrain,0.8806728
10024-simplified,Sunset,0.8669624
10024-simplified,Sunlight,0.86519885
10024-simplified,Morning,0.8538174
10024-simplified,Evening,0.85220677
10024-simplified,Castle,0.8197862
10024-simplified,Afterglow,0.78371394
1012-simplified,Lighting,0.92508006
1012-simplified,Lantern,0.8139723
1012-simplified,Column,0.77806914
1012-simplified,Still life photography,0.7091444
1012-simplified,Evening,0.6148883
1012-simplified,Night,0.5955278
1012-simplified,Lamp,0.55645424
1012-simplified,Light fixture,0.55097556
1012-simplified,Still life,0.5219043
1012-simplified,Shadow,0.51908374
10141-simplified,Crocodiles,0.9913722
10141-simplified,Crocodile,0.991159
10141-simplified,Alligators,0.9655832
10141-simplified,Reptile,0.9634191
10141-simplified,Vertebrate,0.9622685
10141-simplified,Wildlife,0.9566586
10141-simplified,Snout,0.92924255
10141-simplified,Tooth,0.9259692
10141-simplified,Liquid,0.9211627
10141-simplified,American alligator,0.91076434
10156-simplified,Tree house,0.89011157
10156-simplified,Jungle,0.6639453
10156-simplified,Animation,0.5678597
10196-simplified,Unidentified flying object,0.7574801
10196-simplified,Child,0.58672386
10208-simplified,Orange,0.9085725
10208-simplified,Heat,0.62213707
10208-simplified,Fire,0.60466474
10208-simplified,Flame,0.5550742
10208-simplified,Gothic architecture,0.5391533
10208-simplified,Dawn,0.5298271
10215-simplified,Toy,0.90830874
10215-simplified,Fictional character,0.9031087
10215-simplified,Technology,0.87993723
10215-simplified,Machine,0.845348
10215-simplified,Robot,0.83331954
10215-simplified,Mecha,0.7818836
10215-simplified,Action figure,0.7668937
10215-simplified,Armour,0.7479172
10215-simplified,Animation,0.6819738
10215-simplified,Fiction,0.6123871
10229-simplified,CG artwork,0.8420598
10229-simplified,Fictional character,0.81878185
10229-simplified,Cloak,0.7277045
10229-simplified,Animation,0.5977938
10229-simplified,Fiction,0.5634582
1028-simplified,Still life photography,0.5598538
10314-simplified,Science,0.507576
10339-simplified,Naval ship,0.87023085
10339-simplified,Sea,0.83664703
10339-simplified,Ocean,0.80472577
10339-simplified,Aircraft carrier,0.7948397
10339-simplified,Watercraft,0.7713768
10339-simplified,Light aircraft carrier,0.7390988
10339-simplified,Aircraft,0.7080189
10339-simplified,Navy,0.6290312
10339-simplified,Supercarrier,0.6237165
10339-simplified,Naval architecture,0.6183721
1040-simplified,Dog,0.9955314
1040-simplified,Carnivores,0.9576288
1040-simplified,Snout,0.9048764
1040-simplified,Working animal,0.82803404
1040-simplified,Canidae,0.78480154
1040-simplified,Dog sports,0.7324309
1040-simplified,Jumping,0.6116288
1040-simplified,Fur,0.60650826
1040-simplified,Swimming pool,0.551469
1040-simplified,Swimming,0.506213
10402-simplified,Orange,0.91744953
10402-simplified,Mushroom,0.87155855
10402-simplified,Fungus,0.8682291
10402-simplified,Evening,0.67015344
10409-simplified,Snakes,0.99007154
10409-simplified,Vertebrate,0.9593492
10409-simplified,Reptile,0.9367995
10409-simplified,Serpent,0.9026184
10409-simplified,Scaled reptiles,0.89193404
10409-simplified,Terrestrial animal,0.84695244
10409-simplified,Vipers,0.80273116
10409-simplified,Wildlife,0.7936096
10409-simplified,Grass snake,0.71729773
10409-simplified,Elapid snakes,0.6873228
10435-simplified,Photograph,0.98799163
10435-simplified,Standing,0.9440835
10435-simplified,Darkness,0.91908646
10435-simplified,Night,0.8794095
10435-simplified,Midnight,0.7889383
10435-simplified,Lens flare,0.7599413
10435-simplified,Backlighting,0.68202883
10435-simplified,Shadow,0.51426464
10464-simplified,Arch,0.89831305
10464-simplified,Composite material,0.87720066
10464-simplified,Symmetry,0.74020344
10464-simplified,Daylighting,0.71056294
10464-simplified,Shadow,0.6498382
10464-simplified,Arcade,0.6066379
1055-simplified,Interior design,0.9801519
1055-simplified,Furniture,0.97426724
1055-simplified,Flooring,0.9721561
1055-simplified,Floor,0.96657455
1055-simplified,Ceiling,0.95608443
1055-simplified,Living room,0.9551266
1055-simplified,Lighting,0.9484837
1055-simplified,Couch,0.93845713
1055-simplified,Architecture,0.93655425
1055-simplified,Room,0.8896012
10554-simplified,Black hair,0.9119393
10554-simplified,CG artwork,0.8919073
10554-simplified,Eyelash,0.8762253
10554-simplified,Animation,0.70399654
10554-simplified,Fictional character,0.65720296
10554-simplified,Costume,0.6536145
10554-simplified,Digital compositing,0.6163701
10554-simplified,Film,0.598645
10554-simplified,Earring,0.52971536
10624-simplified,Night,0.8500732
10624-simplified,Darkness,0.83455455
10624-simplified,Graphics,0.7145071
10624-simplified,Graphic design,0.6011399
10624-simplified,Lens flare,0.5115696
10643-simplified,Red,0.9733319
10643-simplified,Fictional character,0.87658924
10643-simplified,CG artwork,0.8047207
10643-simplified,Costume,0.76319396
10643-simplified,Cosplay,0.761635
10643-simplified,Animation,0.7002848
10643-simplified,Fiction,0.60273683
10643-simplified,Demon,0.5578187
10643-simplified,Goth subculture,0.5564082
10688-simplified,Fictional character,0.8515042
10688-simplified,Dog,0.8145932
10688-simplified,CG artwork,0.8011402
10688-simplified,Animation,0.8004914
10688-simplified,Armour,0.73698586
10688-simplified,Cloak,0.6697001
10688-simplified,Canidae,0.6329203
10688-simplified,Animated cartoon,0.62459445
10688-simplified,Hero,0.61130226
10688-simplified,Fiction,0.5854627
10697-simplified,Fictional character,0.8130628
10697-simplified,Game,0.81227934
10697-simplified,Animation,0.8119012
10697-simplified,Video Game Software,0.7633032
10697-simplified,Animated cartoon,0.70239973
10697-simplified,PC game,0.7017781
10697-simplified,Graphics,0.58897805
10716-simplified,Mountainous landforms,0.9715891
10716-simplified,Rock,0.96414745
10716-simplified,Natural landscape,0.94836915
10716-simplified,Sunrise,0.945696
10716-simplified,Orange,0.93879277
10716-simplified,Sunset,0.9369464
10716-simplified,Dusk,0.9208094
10716-simplified,Reflection,0.90957534
10716-simplified,Sun,0.9050898
10716-simplified,Terrain,0.90070194
10730-simplified,Apartment,0.82611483
1076-simplified,Lips,0.9847882
1076-simplified,Facial expression,0.9446822
1076-simplified,Eyelash,0.9020024
1076-simplified,Mask,0.8887788
1076-simplified,Masque,0.68013984
1076-simplified,Cosmetics,0.6615954
1076-simplified,Portrait photography,0.61676496
1076-simplified,Glitter,0.59371674
1076-simplified,Lipstick,0.52501583
1076-simplified,Eye shadow,0.52265936
10766-simplified,Food,0.99310595
10766-simplified,Ingredient,0.9519876
